interpro	Class
IPR000001	Unknown / Kringle
IPR000003	Binding
IPR000006	Binding
IPR000008	Binding / Protein
IPR002420	Binding / Protein
IPR014020	Binding / Protein
IPR033884	Binding / Protein
IPR000010	Cleavage / Inhibitor
IPR025760	Cleavage / Inhibitor
IPR025764	Cleavage / Inhibitor
IPR027358	Cleavage / Inhibitor
IPR000013	Cleavage
IPR000013	Binding
IPR000014	Other
IPR013655	Binding / Protein
IPR013656	Other
IPR000020	Cleaved
IPR018081	Cleaved
IPR001840	Cleaved
IPR000026	Binding
IPR001887	Binding
IPR004025	Binding
IPR000033	Binding / Protein
IPR000034	Unknown
IPR000037	Binding
IPR000040	Binding
IPR016554	Binding
IPR000047	Binding
IPR000048	Binding / Protein
IPR000055	Binding
IPR000058	Binding
IPR000061	Binding
IPR000065	Factor
IPR000072	Factor
IPR000074	Binding / Lipid
IPR000082	Unknown
IPR000083	Binding / Protein
IPR000086	Hydrolase
IPR020476	Hydrolase
IPR033716	Hydrolase
IPR000089	Binding
IPR000093	Binding
IPR033923	Kinase
IPR000103	Oxidoreductase
IPR005982	Oxidoreductase
IPR012081	Oxidoreductase
IPR017561	Oxidoreductase
IPR022890	Oxidoreductase
IPR023856	Oxidoreductase
IPR000110	Binding
IPR000111	Hydrolase
IPR000116	Binding
IPR031059	Binding
IPR031079	Binding
IPR000118	Unknown
IPR000119	Binding
IPR005684	Binding
IPR005685	Binding
IPR005902	Binding
IPR000123	Binding
IPR000128	Binding
IPR000132	Hydrolase
IPR000146	Hydrolase / Phospho
IPR023079	Hydrolase / Phospho
IPR028343	Hydrolase / Phospho
IPR000148	Binding
IPR000150	Hydrolase
IPR017223	Hydrolase
IPR023938	Hydrolase
IPR000157	Binding / Protein
IPR000164	Binding
IPR000177	Binding / Protein
IPR000186	Factor
IPR000187	Factor
IPR000197	Binding
IPR000200	Cleavage
IPR000201	Binding
IPR000203	Cleaved
IPR000209	Cleavage
IPR033857	Cleavage
IPR030400	Cleavage
IPR034041	Cleavage
IPR034045	Cleavage
IPR034051	Cleavage
IPR034054	Cleavage
IPR034056	Cleavage
IPR034058	Cleavage
IPR034061	Cleavage
IPR034063	Cleavage
IPR034065	Cleavage
IPR034067	Cleavage
IPR034073	Cleavage
IPR034074	Cleavage
IPR034075	Cleavage
IPR034080	Cleavage
IPR034084	Cleavage
IPR000210	Binding / Protein
IPR003131	Binding / Protein
IPR000211	Binding
IPR000212	Binding
IPR005752	Binding
IPR004586	Binding
IPR005751	Binding
IPR005753	Binding
IPR014151	Binding
IPR014152	Binding
IPR000214	Binding
IPR000221	Binding
IPR000225	Binding / Protein
IPR000226	Factor
IPR001181	Factor
IPR020447	Factor
IPR000233	Binding
IPR000237	Binding / Protein
IPR000240	Cleavage / Inhibitor
IPR000242	Hydrolase / Phospho
IPR000246	Hydrolase
IPR033844	Hydrolase
IPR000253	Binding / Protein
IPR032030	Binding / Protein
IPR000254	Hydrolase
IPR000256	Binding
IPR000261	Binding / Protein
IPR000262	Oxidoreductase
IPR000268	Binding
IPR000269	Binding
IPR032952	Binding
IPR000270	Binding / Protein
IPR000280	Cleavage
IPR000294	Binding
IPR000299	Targeting
IPR000306	Binding
IPR000308	Binding
IPR000315	Binding
IPR020457	Binding
IPR000316	Binding
IPR000322	Hydrolase
IPR000323	Binding
IPR000323	Oxidoreductase
IPR000324	Binding
IPR000328	Retroviral
IPR000330	Binding / DNA
IPR000330	Binding / NTP
IPR000331	Cleavage / Inhibitor
IPR000347	Binding
IPR000357	Binding / Protein
IPR000372	Binding / Protein
IPR000380	Binding
IPR005733	Binding
IPR005736	Binding
IPR005738	Binding
IPR005739	Binding
IPR028612	Binding
IPR000381	Factor
IPR000382	Cleavage
IPR000383	Hydrolase
IPR000385	Binding
IPR000387	Hydrolase / Phospho
IPR020422	Hydrolase / Phospho
IPR000392	Oxidoreductase
IPR005971	Oxidoreductase
IPR005977	Oxidoreductase
IPR010246	Oxidoreductase
IPR000394	Binding
IPR000395	Cleavage
IPR000403	Kinase
IPR000407	Hydrolase
IPR017227	Hydrolase
IPR000409	Unknown
IPR000415	Oxidoreductase
IPR029478	Oxidoreductase
IPR029479	Oxidoreductase
IPR019943	Oxidoreductase
IPR020051	Oxidoreductase
IPR033877	Oxidoreductase
IPR033878	Oxidoreductase
IPR000421	Binding / Sugar
IPR000427	Binding
IPR000428	Binding
IPR000429	Cleavage / Inhibitor
IPR000433	Binding
IPR000436	Binding / Protein
IPR000443	Factor
IPR000445	Binding
IPR000463	Binding / Lipid
IPR000467	Binding
IPR026822	Binding
IPR000472	Binding / Protein
IPR000476	Factor
IPR000479	Binding / Protein
IPR000483	Unknown
IPR031635	Binding / Protein
IPR000487	Cleavage
IPR000488	Binding / Protein
IPR033994	Binding / Protein
IPR033998	Binding / Protein
IPR034029	Binding / Protein
IPR034037	Binding / Protein
IPR000490	Hydrolase
IPR000491	Factor
IPR000492	Binding
IPR000494	Binding / Protein
IPR000504	Binding
IPR003954	Binding
IPR033744	Binding
IPR000510	Oxidoreductase
IPR000514	Hydrolase
IPR000518	Binding
IPR000519	Unknown
IPR000528	Binding / Lipid
IPR000532	Factor
IPR000542	Transferase
IPR000545	Binding
IPR000551	Binding
IPR000555	Binding / Protein
IPR000556	Hydrolase
IPR000558	Binding
IPR000565	Binding
IPR005740	Binding
IPR011557	Binding
IPR000566	Binding
IPR000569	Transferase
IPR000571	Binding
IPR000577	Kinase
IPR006003	Kinase
IPR005929	Kinase
IPR005999	Kinase
IPR006000	Kinase
IPR006002	Kinase
IPR013450	Kinase
IPR033676	Kinase
IPR000582	Binding, Inhibitor, Factor
IPR000585	Binding
IPR000587	Hydrolase
